id,date,rawContent,replyCount,retweetCount,likeCount,quoteCount,lang,place,hashtags,mentionedUsers,user_id,user_name,user_renderedDescription,user_join_date,user_followers,user_location,user_verified,inReplyToTweetId
1450583883578216451,2021-10-19 22:05:23+00:00,"@gunthersm @dreago86 @tere_marinovic Ultranacionalista ¿como los fachos que hicieron una marcha gritando ""Chile para los chilenos"" y pidiendo la expulsión de migrantes?
Antidemocratico ¿cómo los que todavía patean la perra y ningunear un proceso constituyente que fue elegido con casi un 80%?",2,0,0,0,es,,,"[User(username='gunthersm', id=3300386327, displayname='Gunther Schmitt Morg', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='tere_marinovic', id=302219334, displayname='Tere Marinovic Vial', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",1080648593579692032,Carlos08077370,,2019-01-03 02:14:36+00:00,17,"Santiago, Chile",False,1450237238529257478
1450583818344312835,2021-10-19 22:05:07+00:00,"Es lo mismo que el pinochetismo en Chile. Sigue siendo objeto de culto en FFAA. Por eso, en el marco del proceso constituyente que nuestros pueblos han logrado abrir, hemos propuesto el remplazo de esas instituciones por nvas Fzas de Defensa, que nos pertenezcan a todos y todas.",1,6,10,0,es,,,,1168472173566144513,MemoriaHistor,"Agrupación ciudadana dedicada a la promoción de una memoria histórica que privilegie el valor de los derechos humanos, la paz y la diversidad.",2019-09-02 10:34:43+00:00,843,Chile,False,None
1450581579772796931,2021-10-19 21:56:13+00:00,"@KarolCariola Nunca salí a abrir un proceso constituyente ilusa, salí para que subieran el presupuesto de salud el cual nunca subieron y por sierot es solo voluntad política en el congreso. El proceso constituyente ustedes los pusieron no la gente, después todos cayeron",0,0,0,0,es,,,"[User(username='KarolCariola', id=104020962, displayname='Karol Cariola Oliva', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",1500293430,leondelavictori,"Christian, Fotografhy, moto, guitarra, flauta traversa, leer, Quantum, Neuroscience, disfruto de la vida como viene en cada presente... Worship",2013-06-11 04:41:41+00:00,45,"Panguipulli, Chile",False,1450150629502951425
1450581140851544066,2021-10-19 21:54:29+00:00,"En el contexto de nuestro proceso constituyente, el Dr. Cristóbal Caviedes (@derechoucnantof) escribe acá sobre el experimento constitucional estadounidense y su relevancia. Recomendado. 
https://t.co/OX70GRvF02",0,2,1,0,es,"Place(id='7ae9e2f2ff7a87cd', fullName='Edinburgh, Scotland', name='Edinburgh', type='city', country='United Kingdom', countryCode='GB')",,"[User(username='derechoucnantof', id=1249851065228496898, displayname='Derecho UCN Antofagasta', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",956113032,RTepperM,32. Abogado. Libre competencia. Profesor en @facdeh_UCEN. Opiniones y desvaríos a título personal. Aquí también hablo (sufro) del @swanderers.,2012-11-18 19:51:07+00:00,1823,Chile,False,None
1450580412749725702,2021-10-19 21:51:35+00:00,@ProvosteYasna En qué país vive?... El proceso constituyente es lo peor que le ha pasado a Chile.,0,0,0,0,es,,,"[User(username='ProvosteYasna', id=2730306924, displayname='Yasna Provoste Campillay', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",1080515507210633217,JosMigu77360272,Es normal dar vuelta la hoja por caidas...mientras no te acostumbres a ellas...,2019-01-02 17:25:46+00:00,4206,"Rancagua, Chile",False,1450262269779009545
1450578303669227520,2021-10-19 21:43:12+00:00,"Jamás el pueblo pidió un proceso constituyente. De hecho la amplia mayoría de la población jamás leyó ni comprende la constitución de 1980. Te engañaron para votar apruebo e iniciar un proceso revolucionario que arrasará con el futuro de tus hijos.

 #KastLeDaEsperanzaAChile",0,3,5,0,es,,['KastLeDaEsperanzaAChile'],,1411818511069028357,matechilote,Cristiano weno pa los milcaos,2021-07-04 22:46:01+00:00,221,"Chelin, República de Chile",False,None
1450577701857906690,2021-10-19 21:40:49+00:00,"🔴📢Es interesante saber que la @convencioncl piensa en el legado de su trabajo, autorizando al cineasta #PatricioGuzman para que realice grabaciones en sus dependencias para su #documental sobre el proceso constituyente, pero ha dificultado el acceso de la prensa a sus sesiones. https://t.co/6nv5vKYP0C",0,1,0,0,es,,"['PatricioGuzman', 'documental']","[User(username='convencioncl', id=1399422225674129415, displayname='Chile Convención', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",3068193015,infogatecl,"#Periodismo responsable e independiente. Nuestro compromiso: “Informar, Analizar y Anticipar”.",2015-03-03 17:17:25+00:00,12979,Santiago de Chile,False,None
1450576623414153217,2021-10-19 21:36:32+00:00,"@Ignacioelpez @fernando_atria Yo no celebro nada del basurero de proceso constituyente.
No celebro nada que nazca de la violencia.
No celebro nada que omita al prójimo.
No celebro las votaciones truchas.
No celebro los engaños.
No celebro nada que se salte las reglas.

#RechazoDeSalida 🇨🇱",0,0,0,0,es,,['RechazoDeSalida'],"[User(username='Ignacioelpez', id=1051325856189206528, displayname='ignacio', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='fernando_atria', id=2764352584, displayname='Fernando Atria.', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",3130519559,GON7ALORD,Hombre hecho y derecho. Responsable de mi destino. El socialismo se quita con información.,2015-03-31 05:14:32+00:00,463,Sureño🌦,False,1450467430447435777
1450575574783590400,2021-10-19 21:32:22+00:00,El proceso constituyente no iba a garantizar la paz??? Además lo de ayer no fue delincuencia común. Fue violencia política manejada por ustedes!!!,0,0,0,0,es,,,,1268681168683257864,Neni_54,Admiradora del Gob Militar. Chilena orgullosa de ser parte del 22% y 62% Anticomunista. #RECHAZO,2020-06-04 23:09:32+00:00,3734,En mi Patria bella. ,False,None
1450574794009845765,2021-10-19 21:29:15+00:00,@jcancinoalvear @jschaulsohn No… si está claro.. después de estar en un espurio proceso constituyente que es hijo legítimo y reconocido de esta extrema violencia que solo a beneficiado a la izquierda en bloque al entregarles la refundación del país seguro quienes hacen todo esto son de ls derecha masoquista,2,1,1,0,es,,,"[User(username='jcancinoalvear', id=141814332, displayname='El Bendito', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='jschaulsohn', id=20594284, displayname='jschaulsohn', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",1060382074698452992,RalGuzm17108483,Arquitecto P.U.C. de Chile,2018-11-08 04:02:42+00:00,6836,"Providencia, Chile",False,1450486257285468164
